,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Best View Court,Block B,1959-05-11,M,,,,68,0,1311,22000000,2021-01-06,,0.0,0.0,22.274964999999998,114.16006
1,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Manrich Court,Manrich Court,1990-08-29,L,,,3,F,566,419,7000000,2021-01-06,2012-08-27,1980000.0,253.54,22.275772,114.16891
2,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Wealthy Heights,Wealthy Heights,1987-06-27,L,,,,A,0,1584,38500000,2021-01-05,,0.0,0.0,22.275665999999998,114.158758
3,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Tregunter,Tower 3,1993-11-11,L,2,,16,B,2020,1547,38000000,2020-12-31,2012-06-15,29500000.0,28.810000000000002,22.274673,114.152627
4,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Phoenix Court,Block 1,1977-09-12,L,,,,B,1234,1119,20800000,2020-12-28,,0.0,0.0,22.274134,114.17223
5,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Royal Court,Royal Court,1995-07-21,L,,,14,C,0,636,12800000,2020-12-24,2009-02-23,5400000.0,137.04,22.275067999999997,114.16818
6,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Starcrest,Block 2,1999-11-08,H,2,,27,F,1007,793,30200000,2020-12-24,2014-01-16,21000000.0,43.81,22.2763169,114.167744
7,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,The Albany,The Albany,1989-04-06,M,3,,,A1,2404,1948,103500000,2020-12-22,,0.0,0.0,22.277768,114.154861
8,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,St. Louis Mansion,St. Louis Mansion,1993-05-21,H,0,,24,A,0,314,6900000,2020-12-22,2007-01-26,2900000.0,137.93,22.275555999999998,114.156828
9,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Hillsborough Court,Block 1,1993-08-12,M,2,,22,B,931,761,21500000,2020-12-21,,0.0,0.0,22.275081,114.152337
10,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Manrich Court,Manrich Court,1990-08-29,H,,,28,A,568,415,9530000,2020-12-17,2015-03-26,8900000.0,7.08,22.275772,114.16891
11,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Hillsborough Court,Block 1,1993-08-12,L,2,,11,C,938,738,19750000,2020-12-16,2001-07-31,6100000.0,223.77,22.275081,114.152337
12,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,St. Louis Mansion,St. Louis Mansion,1993-05-21,M,,,,C,411,306,7780000,2020-12-14,2007-11-27,3500000.0,122.29,22.275555999999998,114.156828
13,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Royal Court,Royal Court,1995-07-21,H,,,28,D,0,636,15800000,2020-12-11,2010-02-05,8500000.0,85.88,22.275067999999997,114.16818
14,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,St. Louis Mansion,St. Louis Mansion,1993-05-21,M,1,,15,E,0,452,9800000,2020-12-09,2015-05-20,10100000.0,-2.97,22.275555999999998,114.156828
15,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Starcrest,Block 2,1999-11-08,M,1,,19,E,730,573,17000000,2020-12-07,1999-03-27,5200000.0,226.92000000000002,22.2763169,114.167744
16,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Tavistock,Block 2 ( T2 ),1999-05-04,H,,,42,A,0,1520,64200000,2020-12-04,2005-09-15,27000000.0,137.78,22.273272,114.15288
17,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Hillsborough Court,Block 3,1993-08-12,L,2,,1,A,841,657,16500000,2020-11-30,1997-08-13,8159775.0,102.21000000000001,22.2755279,114.152324
18,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Dynasty Court,Block 1,1991-09-25,L,4,,,A,2691,2153,76180000,2020-11-30,2003-05-17,13000000.0,486.0,22.276208,114.152624
19,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Convention Plaza,Apartment Tower ( Apar ),1990-03-07,H,,,46,1,0,1607,56500000,2020-11-30,2003-01-11,15850000.0,256.47,22.280714,114.17205
20,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Hillsborough Court,Block 3,1993-08-12,H,2,,28,D,821,673,19000000,2020-11-30,2000-10-16,7300000.0,160.27,22.2755279,114.152324
21,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,St. Louis Mansion,St. Louis Mansion,1993-05-21,M,0,,13,A,0,314,7680000,2020-11-27,2012-08-30,6100000.0,25.900000000000002,22.275555999999998,114.156828
22,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Birchwood Place,Birchwood Place,1989-08-31,,,,36,A,2018,1596,54000000,2020-11-27,1996-11-20,17380000.0,210.70000000000002,22.27514,114.160966
23,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Kennedy Apartment,Kennedy Apartment,1962-10-25,H,,,9,,0,2123,46500000,2020-11-20,,0.0,0.0,22.276142,114.159985
