,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Eastern,Chai Wan,Lok Hin Terrace,Block 5,1995-04-25,M,2,2,11,J,590,481,6000000,2021-01-06,2016-08-10,5050000,18.81,22.264395,114.241554
1,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 6,2001-04-11,,3,,53,B,1141,811,14200000,2021-01-06,2010-08-09,7550000,88.08,22.266137,114.251671
2,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 7,2001-04-11,L,3,,10,C,1142,811,13900000,2021-01-05,2012-03-08,8260000,68.28,22.266346,114.251465
3,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 7,2001-04-11,,2,,57,F,644,455,8000000,2021-01-04,2001-06-01,2388000,235.01,22.266346,114.251465
4,Hong Kong Island,Eastern,Chai Wan,Greenwood Terrace (Cw),Block 2,1985-07-05,M,2,2,20,B,588,508,6370000,2020-12-30,2015-12-21,5180000,22.97,22.2666049,114.2346955
5,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 6,2001-04-11,L,3,,17,B,1142,811,13800000,2020-12-30,2007-07-13,5450000,153.21,22.266137,114.251671
6,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 3,2001-04-11,L,3,,,D,878,597,7513000,2020-12-29,2010-06-04,4890000,53.64,22.265534,114.251226
7,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 2,2001-04-11,M,3,,38,B,869,605,10600000,2020-12-29,2012-10-03,6700000,58.21,22.266616,114.250062
8,Hong Kong Island,Eastern,Chai Wan,Walton Estate,Block A(II)(Tak Luk House),1982-08-21,H,2,2,21,D,501,417,5500000,2020-12-29,,0,0.0,22.264532,114.23956
9,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 7,2001-04-11,H,3,,,B,1142,811,13970000,2020-12-29,,0,0.0,22.266346,114.251465
10,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 2,2001-04-11,L,2,,15,F,652,457,7500000,2020-12-24,2008-10-30,3100000,141.94,22.266616,114.250062
11,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 3,2001-04-11,M,3,,33,A,856,596,9000000,2020-12-24,2015-05-14,8960000,0.45,22.265534,114.251226
12,Hong Kong Island,Eastern,Chai Wan,Walton Estate,Block A(I)(Tak Fook House),1982-08-21,L,2,2,10,B,522,434,5750000,2020-12-23,,0,0.0,22.264747999999997,114.23940999999999
13,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 5,2001-04-11,M,,,39,G,650,457,8100000,2020-12-22,2013-06-18,5500000,47.27,22.265849,114.251637
14,Hong Kong Island,Eastern,Chai Wan,Cheerful Garden,Block 1,1995-05-26,H,2,2,26,J,709,587,5200000,2020-12-22,,0,0.0,22.263365999999998,114.250743
15,Hong Kong Island,Eastern,Chai Wan,Kai Tsui Court,Block A,1993-07-30,L,,,3,14,601,438,3080000,2020-12-22,,0,0.0,22.262037,114.25088
16,Hong Kong Island,Eastern,Chai Wan,Hiu Tsui Court,Block B,1990-03-31,L,2,2,10,5,515,401,4800000,2020-12-21,,0,0.0,22.263348,114.247116
17,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 7,2001-04-11,M,,,36,G,650,455,8000000,2020-12-18,2010-03-09,3380000,136.69,22.266346,114.251465
18,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 9,2001-04-11,L,2,,,F,733,506,8420000,2020-12-18,2000-03-21,3356000,150.89000000000001,22.267011,114.25076
19,Hong Kong Island,Eastern,Chai Wan,Winner Centre,Block C,1982-02-04,M,1,2,16,C7,371,254,4430000,2020-12-18,2000-05-18,1008000,339.48,22.263626,114.238641
20,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 6,2001-04-11,,,,46,G,710,493,8600000,2020-12-18,2012-08-01,5180000,66.02,22.266137,114.251671
21,Hong Kong Island,Eastern,Chai Wan,Yen Lok Building,Block B,1973-06-26,M,,,14,V,0,285,3880000,2020-12-17,2014-04-23,2368000,63.85,22.261817999999998,114.23587
22,Hong Kong Island,Eastern,Chai Wan,Greenwood Terrace (Cw),Block 7,1985-07-05,M,2,2,18,G,582,504,6280000,2020-12-17,2017-12-07,5790000,8.46,22.267103,114.235728
23,Hong Kong Island,Eastern,Chai Wan,Wah Tai Mansion,Wah Tai Mansion,1976-06-16,M,2,1,11,E,450,357,4620000,2020-12-16,,0,0.0,22.263171999999997,114.235916
24,Hong Kong Island,Eastern,Chai Wan,Fung Wah Estate,Sau Fung House (Block 3),1991-05-01,,,,34,13,0,443,2460000,2020-12-16,,0,0.0,22.261004999999997,114.2316
25,Hong Kong Island,Eastern,Chai Wan,Fullview Garden,Block 4,1993-01-12,L,3,2,3,H,707,592,4500000,2020-12-16,2005-04-22,980000,359.18,22.26252,114.25242
26,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 2,2001-04-11,M,,,31,A,878,597,10380000,2020-12-16,2012-10-25,6330000,63.980000000000004,22.266616,114.250062
27,Hong Kong Island,Eastern,Chai Wan,Tsui Wan Estate,Tsui Ning House (Block D),1988-11-01,H,,,28,9,0,385,2800000,2020-12-11,,0,0.0,22.267746,114.239655
28,Hong Kong Island,Eastern,Chai Wan,Neptune Terrace,Block 2,1985-12-31,H,3,2,27,C,802,700,6900000,2020-12-10,,0,0.0,22.267958,114.234259
29,Hong Kong Island,Eastern,Chai Wan,Harmony Garden,Block 6,1997-03-24,H,2,2,21,E,567,484,5470000,2020-12-10,1997-03-17,1160000,371.55,22.26505,114.24921
30,Hong Kong Island,Eastern,Chai Wan,Lok Hin Terrace,Block 2,1995-04-25,M,2,2,19,E,590,481,6950000,2020-12-09,2012-10-22,3670000,89.37,22.263916,114.24056
31,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 7,2001-04-11,L,,,10,G,652,457,7700000,2020-12-09,2000-03-16,2965000,159.70000000000002,22.266346,114.251465
32,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 8,2001-04-11,L,,,8,C,1142,811,13380000,2020-12-07,2007-10-22,5700000,134.74,22.266759999999998,114.251036
33,Hong Kong Island,Eastern,Chai Wan,Koway Court,Block 2,1983-12-12,M,2,2,15,D,484,396,5000000,2020-12-03,2009-07-21,1645000,203.95000000000002,22.266092,114.23396
34,Hong Kong Island,Eastern,Chai Wan,Harmony Garden,Block 5,1997-03-24,H,2,2,25,A,504,431,4750000,2020-12-03,1997-03-21,999600,375.19,22.265333,114.24953
35,Hong Kong Island,Eastern,Chai Wan,New Jade Gardens,Block 3,1988-04-06,H,3,2,22,G,642,533,7900000,2020-12-02,2010-11-17,1800000,338.89,22.263716,114.237065
36,Hong Kong Island,Eastern,Chai Wan,Shan Tsui Court,Block A,1981-09-25,H,2,2,27,4,474,379,5380000,2020-12-02,2011-03-17,2315000,132.4,22.269824999999997,114.233406
37,Hong Kong Island,Eastern,Chai Wan,Neptune Terrace,Block 3,1985-12-31,L,3,2,7,A,985,860,8290000,2020-12-02,2011-09-09,3888000,113.22,22.268247,114.234058
38,Hong Kong Island,Eastern,Chai Wan,Harmony Garden,Block 4,1997-03-24,H,3,2,26,A,693,592,6400000,2020-12-02,1997-03-14,1422600,349.88,22.2657465,114.2497694
39,Hong Kong Island,Eastern,Chai Wan,New Jade Gardens,Block 1,1988-04-06,H,3,2,23,C,703,589,8880000,2020-12-01,,0,0.0,22.264248,114.237153
40,Hong Kong Island,Eastern,Chai Wan,Wah Tai Mansion,Wah Tai Mansion,1976-06-16,M,2,1,9,D,480,380,4500000,2020-12-01,2016-12-13,1900000,136.84,22.263171999999997,114.235916
41,Hong Kong Island,Eastern,Chai Wan,Neptune Terrace,Block 3,1985-12-31,M,3,2,20,D,803,701,7060000,2020-11-27,,0,0.0,22.268247,114.234058
42,Hong Kong Island,Eastern,Chai Wan,Greenwood Terrace (Cw),Block 3,1985-07-05,H,3,2,22,C,747,646,7800000,2020-11-27,2009-03-18,2250000,246.67000000000002,22.267111,114.234728
43,Hong Kong Island,Eastern,Chai Wan,Yan Tsui Court,Block B,1983-03-31,M,,,12,8,676,546,5800000,2020-11-27,,0,0.0,22.261117,114.237773
44,Hong Kong Island,Eastern,Chai Wan,Wah Tai Mansion,Wah Tai Mansion,1976-06-16,L,2,1,7,H,450,380,2340000,2020-11-26,2013-03-19,2900000,-19.31,22.263171999999997,114.235916
45,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 2,2001-04-11,M,,,37,D,856,596,10860000,2020-11-26,2001-07-28,3689000,194.39000000000001,22.266616,114.250062
46,Hong Kong Island,Eastern,Chai Wan,Kai Tsui Court,Block B,1993-07-30,M,,,18,15,595,435,5300000,2020-11-26,2012-06-22,2800000,89.29,22.261549,114.251274
47,Hong Kong Island,Eastern,Chai Wan,New Jade Gardens,Block 5,1988-04-06,L,2,2,1,H,563,470,6250000,2020-11-26,2011-10-13,2950000,111.86,22.263603,114.236217
48,Hong Kong Island,Eastern,Chai Wan,Walton Estate,Block B(IV)(Tak Hay House),1982-08-21,L,2,2,8,E,484,403,4980000,2020-11-23,,0,0.0,22.264183,114.239944
49,Hong Kong Island,Eastern,Chai Wan,Lok Hin Terrace,Block 1,1995-04-25,M,2,2,13,K,522,426,3980000,2020-11-23,,0,0.0,22.26353,114.24039
50,Hong Kong Island,Eastern,Chai Wan,Yen Lok Building,Block B,1973-06-26,L,,,1,P,0,290,3550000,2020-11-23,,0,0.0,22.261817999999998,114.23587
51,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 8,2001-04-11,M,,,36,A,1032,728,12300000,2020-11-20,2007-11-08,5188000,137.09,22.266759999999998,114.251036
52,Hong Kong Island,Eastern,Chai Wan,Yan Tsui Court,Block B,1983-03-31,H,,,17,1,676,546,3950000,2020-11-20,,0,0.0,22.261117,114.237773
53,Hong Kong Island,Eastern,Chai Wan,Greenwood Terrace (Cw),Block 4,1985-07-05,H,3,2,22,D,747,646,7450000,2020-11-20,2014-11-12,5600000,33.04,22.267409999999998,114.234612
