,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Belmont Heights,Belmont Heights,1977-02-07,L,4,2,1,B,1085,944,15600000,2021-01-04,2012-04-26,9330000,67.2,22.341223,114.18206
1,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Avon Court,Avon Court,1974-01-18,H,3,2,7,A,920,823,14200000,2020-12-31,,0,0.0,22.342081,114.182945
2,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Phoenix Court,Block E,1977-10-18,M,2,,4,E1,0,589,9800000,2020-12-30,2017-09-27,8800000,11.36,22.342173,114.18191
3,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Parc Inverness,House D,2016-03-18,,3,,-,-,0,3436,116280000,2020-12-29,,0,0.0,,
4,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Rockford Mansion & Clifford Mansion,Block B (Clifford Mansion),1978-08-15,M,,,3,D,0,728,12600000,2020-12-28,2007-09-27,4368000,188.46,22.3429,114.182699
5,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Eight College,Eight College,2011-04-08,L,,,2,,2420,1777,52580000,2020-12-24,2012-06-18,63000000,-16.54,22.327966999999997,114.18431
6,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Tang Court,Block D1,1987-01-13,,3,,3,A,1202,1009,18380000,2020-12-22,2016-08-23,14380000,27.82,22.329985,114.183105
7,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Boland Court,Boland Court,1975-10-25,L,3,2,,B,0,531,7000000,2020-12-21,,0,0.0,22.340737999999998,114.18152
8,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Boland Court,Boland Court,1974-09-05,L,3,2,2,G,766,658,12000000,2020-12-18,2010-10-13,5600000,114.29,22.34098,114.18137
9,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Boland Court,Boland Court,1975-10-25,,1,1,G,E,440,440,8200000,2020-12-17,,0,0.0,22.340737999999998,114.18152
10,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,One Beacon Hill,Block 5,2004-02-09,H,3,,12,D,1468,1084,28200000,2020-12-16,2004-09-09,14387000,96.01,22.3410134,114.174675
11,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Phoenix Court,Block F,1977-10-18,L,1,,1,F2,0,487,8780000,2020-12-14,1997-10-15,3330000,163.66,22.342271999999998,114.182014
12,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,One Beacon Hill,Block 8,2004-02-09,H,3,,10,B,1469,1114,28000000,2020-12-11,2003-09-23,7780000,259.9,22.341552,114.175236
13,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Faber Garden,Faber Garden,1977-03-31,H,1,2,6,D3,530,445,7200000,2020-12-02,2012-09-03,4550000,58.24,22.341606,114.181915
14,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Gala Garden,Gala Garden,1963-05-21,,,,3,D,0,1119,14380000,2020-11-25,,0,0.0,22.32951,114.18624
15,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Twilight Court,Twilight Court,1975-06-26,L,3,,2,B1,781,638,9850000,2020-11-25,1996-10-24,3480000,183.05,22.341475,114.18212
16,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,One Beacon Hill,Block 8,2004-02-09,L,3,,3,B,1469,1114,28000000,2020-11-25,2003-10-15,7200000,288.89,22.341552,114.175236
17,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,College Crest,Block A,1978-11-02,H,,,8,3,0,769,15500000,2020-11-19,2010-09-27,7500000,106.67,22.328236,114.18385
18,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Tang Court,Block D3,1987-01-13,,3,,3,A,1156,1004,18000000,2020-11-18,2016-12-06,5500000,227.27,22.329739999999997,114.18330399999999
19,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,One Beacon Hill,Block 10,2004-02-09,L,3,,1,B,1469,1121,28500000,2020-11-17,2003-09-19,6708000,324.87,22.341952,114.175237
20,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Boland Court,Boland Court,1974-09-05,L,3,2,1,G,766,658,11000000,2020-11-16,2009-08-25,4500000,144.44,22.34098,114.18137
21,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 1,2019-09-29,M,,,6,A,0,1188,44079000,2020-11-13,,0,0.0,22.330961,114.18567
22,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,H,,,7,E,0,283,8569000,2020-11-10,,0,0.0,22.330969,114.18579
23,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,M,,,6,E,0,283,8408000,2020-11-09,,0,0.0,22.330969,114.18579
24,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,L,,,2,E,0,283,7839000,2020-11-06,,0,0.0,22.330969,114.18579
25,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,15 Grampian Road,15 Grampian Road,1966-07-08,M,,,4,B,0,610,10000000,2020-11-05,,0,0.0,22.3292037,114.186434
26,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,The Palace,The Palace,2002-09-27,H,,,39,B,2300,1764,42000000,2020-11-04,2003-10-03,14980000,180.37,22.34216,114.18356
27,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,La Salle Residence,La Salle Residence,2018-06-14,L,,,5,E,0,297,7676000,2020-11-04,,0,0.0,22.32613,114.18214
28,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Faber Garden,Faber Garden,1977-03-31,M,1,2,5,3,530,445,7600000,2020-11-04,2017-04-28,6980000,8.88,22.341606,114.181915
29,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Belmont Heights,Belmont Heights,1977-02-07,L,3,2,3,B,1085,944,16380000,2020-11-03,,0,0.0,22.341223,114.18206
30,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Jade Court,Block C,1977-05-04,M,3,,4,C1,0,735,12280000,2020-10-29,2006-11-23,3700000,231.89000000000001,22.342747,114.18206
31,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,H,,,7,C,0,265,8205000,2020-10-23,,0,0.0,22.330969,114.18579
32,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Faber Garden,Faber Garden,1977-03-31,H,3,2,7,B1,1100,950,17680000,2020-10-23,1999-05-11,4688000,277.13,22.341606,114.181915
33,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,L,,,3,E,0,283,7999000,2020-10-23,,0,0.0,22.330969,114.18579
34,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,M,,,5,E,0,283,8248000,2020-10-22,,0,0.0,22.330969,114.18579
35,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Welcome Gardens,Block 2,1971-11-24,H,3,2,9,G,900,698,10000000,2020-10-22,2008-02-06,4020000,148.76,22.342558,114.18066999999999
36,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,No.1 Oxford Road,House 2,2009-12-03,,,,,,7292,5325,196000000,2020-10-22,2017-08-14,190000000,3.16,22.330488,114.18056
37,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Beverly Villas,Block 10,1980-12-24,M,3,2,7,D,1308,1212,16000000,2020-10-22,2003-06-27,4700000,240.43,22.327439,114.183459
38,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,M,,,6,D,0,278,8481000,2020-10-21,,0,0.0,22.330969,114.18579
39,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Kent Court,Block 5,1985-06-28,H,3,2,9,B,1021,882,15800000,2020-10-21,2002-11-21,4000000,295.0,22.327441999999998,114.18083
