,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 17,2002-08-07,L,1,,,J,498,378,4970000,2021-01-05,2006-01-27,1700000,192.35,22.350234,114.0599035
1,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 25,2004-11-12,H,2,,,H,653,490,6260000,2020-12-31,2004-07-10,2398000,161.05,22.3531194,114.06043
2,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 27,2006-06-28,H,2,2,,D,750,598,7380000,2020-12-29,2006-09-04,2888000,155.54,22.3534505,114.061128
3,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 5,2002-08-07,H,2,,23,D,0,602,7950000,2020-12-28,2012-03-28,4800000,65.63,22.353337999999997,114.062645
4,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 26,2006-06-28,L,2,,11,H,622,476,6030000,2020-12-28,2014-01-13,4230000,42.550000000000004,22.353423,114.060729
5,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 23,2004-11-12,H,3,,29,B,912,707,8500000,2020-12-28,2017-03-20,7550000,12.58,22.3527971,114.060294
6,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 17,2002-08-07,M,,,16,K,498,378,5100000,2020-12-28,2015-03-03,4180000,22.01,22.350234,114.0599035
7,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 30,2006-06-28,M,2,,17,H,665,507,5900000,2020-12-28,2010-04-19,2520000,134.13,22.354236,114.0605369
8,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 03,2002-08-07,L,3,,,D,816,632,7900000,2020-12-24,2009-07-30,3238000,143.98,22.3536435,114.062419
9,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 22,2004-11-12,M,2,,21,E,653,490,5800000,2020-12-23,2010-11-10,2790000,107.89,22.3524715,114.0601535
10,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 6,2002-08-07,M,2,,10,F,694,531,6160000,2020-12-22,2009-01-02,2150000,186.51,22.353023,114.0621146
11,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 5,2002-08-07,H,2,,22,D,0,602,7800000,2020-12-21,2009-07-09,3390000,130.09,22.353337999999997,114.062645
12,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 25,2004-11-12,H,3,,25,A,800,617,7000000,2020-12-17,2009-07-13,3320000,110.84,22.3531194,114.06043
13,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 28,2006-06-28,L,2,2,6,F,735,575,6088000,2020-12-16,2017-07-11,6000000,1.47,22.353803,114.0612985
14,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 28,2006-06-28,L,2,2,13,A,622,476,5980000,2020-12-15,2012-10-25,3880000,54.120000000000005,22.353803,114.0612985
15,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 12,2002-08-07,L,2,,6,E,706,537,6000000,2020-12-14,2013-07-03,4104000,46.2,22.3512462,114.0609784
16,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 17,2002-08-07,H,,,22,L,488,360,5200000,2020-12-14,2017-05-02,4900000,6.12,22.350234,114.0599035
17,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 27,2006-06-28,H,2,2,31,F,737,589,6200000,2020-12-09,2008-05-22,3300000,87.88,22.3534505,114.061128
18,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 1,2004-11-12,H,2,,20,G,678,532,6600000,2020-12-07,2013-01-14,4060000,62.56,22.3540625,114.061717
19,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 2,2002-08-07,M,3,,19,B,1000,781,10000000,2020-12-04,2010-03-01,4610000,116.92,22.353865,114.062104
