,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,New Territories,Sha Tin,Shatin,City One Shatin,Block 31,1983-08-13,M,2,1,,D,395,327,5400000,2021-01-07,,0,0.0,22.3860034,114.2048905
1,New Territories,Sha Tin,Shatin,Castello,Block 2,1999-10-30,M,2,,22,E,718,547,7500000,2021-01-06,1998-09-30,2919500,156.89000000000001,22.38401,114.214844
2,New Territories,Sha Tin,Shatin,May Shing Court,Fai Shing House,1985-01-24,M,,,22,9,538,381,4980000,2021-01-06,2013-10-04,2900000,71.72,22.3797494,114.1754835
3,New Territories,Sha Tin,Shatin,City One Shatin,Block 31,1983-08-13,H,2,1,29,D,395,327,5600000,2021-01-06,2007-11-14,1623000,245.04,22.3860034,114.2048905
4,New Territories,Sha Tin,Shatin,Prima Villa,Block 2,2001-09-29,M,2,,22,F,549,417,7450000,2021-01-06,2009-09-28,2690000,176.95000000000002,22.3820495,114.2038501
5,New Territories,Sha Tin,Shatin,City One Shatin,Block 46,1986-01-25,M,2,1,16,G,410,304,5080000,2021-01-06,2004-06-25,1100000,361.82,22.3856949,114.2026331
6,New Territories,Sha Tin,Shatin,Belair Gardens,Block C (Carmel Heights),1982-06-01,,3,2,24,B,1970,725,8780000,2021-01-06,2002-08-31,2050000,328.29,22.384148,114.198527
7,New Territories,Sha Tin,Shatin,City One Shatin,Block 38,1985-05-27,H,2,1,27,B,395,284,5380000,2021-01-06,2014-10-20,3920000,37.24,22.3852485,114.2039444
8,New Territories,Sha Tin,Shatin,City One Shatin,Block 1,1981-01-29,L,3,2,8,E,544,451,7130000,2021-01-05,2012-04-17,3700000,92.7,22.3878205,114.2040506
9,New Territories,Sha Tin,Shatin,Golden Lion Garden,Golden Beauty Court (Block B),1986-12-17,L,1,2,6,4,418,270,4000000,2021-01-05,2012-02-28,1698000,135.57,22.36938,114.184255
10,New Territories,Sha Tin,Shatin,City One Shatin,Block 3,1981-05-25,H,3,2,21,F,544,451,7950000,2021-01-05,2010-07-29,3000000,165.0,22.388395,114.203415
11,New Territories,Sha Tin,Shatin,City One Shatin,Block 47,1986-01-25,L,2,1,12,E,395,284,5180000,2021-01-05,2013-01-21,3100000,67.1,22.385451,114.2029181
12,New Territories,Sha Tin,Shatin,Lap Wo House,Lap Wo House,1980-11-27,,,,3,D,0,362,3000000,2021-01-05,,0,0.0,22.376735999999998,114.178829
13,New Territories,Sha Tin,Shatin,Belair Gardens,Block G (Grenville Heights),1982-08-24,L,3,2,5,D,920,670,7900000,2021-01-05,2017-11-21,6990000,13.02,22.3847335,114.1993214
14,New Territories,Sha Tin,Shatin,City One Shatin,Block 29,1983-08-13,L,2,1,10,G,395,327,5600000,2021-01-05,,0,0.0,22.3863796,114.205259
15,New Territories,Sha Tin,Shatin,Yue Tin Court,Block B (Yue Wo House),1983-02-28,H,2,,25,6,591,483,6230000,2021-01-05,2017-05-23,5550000,12.25,22.3832341,114.20214899999999
16,New Territories,Sha Tin,Shatin,Festival City,Block 1,2010-02-03,H,3,,47,NB,1030,785,12580000,2021-01-05,2016-04-20,8800000,42.95,22.3696785,114.1754005
17,New Territories,Sha Tin,Shatin,Peak One,Zone B,2008-10-03,,1,,2,B02,536,415,6930000,2021-01-05,2016-12-01,5760000,20.31,22.381194999999998,114.181016
18,New Territories,Sha Tin,Shatin,City One Shatin,Block 49,1986-01-25,H,2,1,31,B,395,284,5360000,2021-01-05,2017-04-10,4100000,30.73,22.3850664,114.2028464
19,New Territories,Sha Tin,Shatin,Shatin New Town (Lucky Plaza),Block B2 ( Yae Lam Court ),1983-04-28,H,2,2,19,G,416,326,5000000,2021-01-05,2012-07-27,2930000,70.65,22.3833675,114.1907625
20,New Territories,Sha Tin,Shatin,Wai Wah Centre,Block 1,1986-06-10,H,2,2,27,B,483,358,6150000,2021-01-05,2011-01-07,2380000,158.4,22.380657,114.1868736
21,New Territories,Sha Tin,Shatin,Garden Rivera,Block B,1984-09-28,L,2,1,14,7,368,242,4390000,2021-01-05,2014-08-26,3000000,46.33,22.380841999999998,114.1952954
22,New Territories,Sha Tin,Shatin,Festival City,Block 2,2010-02-03,H,3,,37,SD,980,739,13150000,2021-01-04,2011-06-24,8708000,51.01,22.3700016,114.1756925
23,New Territories,Sha Tin,Shatin,Castello,Block 2,1999-10-30,L,2,,10,A,718,547,7800000,2021-01-04,2009-12-01,3400000,129.41,22.38401,114.214844
24,New Territories,Sha Tin,Shatin,Shatin Centre,Block A - (Tung Ning Building),1981-12-30,L,2,2,,E,0,288,5680000,2021-01-04,2010-05-18,1998000,184.28,22.382111,114.1909105
25,New Territories,Sha Tin,Shatin,Manlai Court,Block 2,1990-09-26,M,3,2,12,E,736,622,9300000,2021-01-04,1997-07-18,4180000,122.49000000000001,22.3748425,114.18184600000001
26,New Territories,Sha Tin,Shatin,Wai Wah Centre,Block 3,1986-06-10,L,2,2,7,F,483,358,5780000,2021-01-04,2010-08-10,2293000,152.07,22.381158,114.1873465
27,New Territories,Sha Tin,Shatin,City One Shatin,Block 25,1986-07-14,M,3,2,12,A,870,688,10000000,2021-01-04,2017-03-09,8100000,23.46,22.3871366,114.2048196
28,New Territories,Sha Tin,Shatin,Jubilee Garden,Block 5,1985-10-16,L,2,,6,F,623,498,6280000,2021-01-04,2013-05-20,4010000,56.61,22.3979539,114.200282
29,New Territories,Sha Tin,Shatin,Fung Shing Court,Block A - (Wing Shing House),1985-04-15,L,,,,24,538,381,4680000,2021-01-04,,0,0.0,22.371216999999998,114.188079
30,New Territories,Sha Tin,Shatin,Jubilee Garden,Jubilee Court (Block Dupl),1986-05-08,L,3,2,10,G2,1117,674,8500000,2021-01-04,2012-09-05,5480000,55.11,22.396472,114.19980699999999
31,New Territories,Sha Tin,Shatin,Jubilee Garden,Block 4,1985-10-16,M,2,,22,A,644,506,6300000,2021-01-04,1999-11-24,1710000,268.42,22.3977125,114.200106
32,New Territories,Sha Tin,Shatin,Jubilee Garden,Block 4,1985-10-16,L,2,,7,C,623,498,6100000,2021-01-04,2010-07-23,2600000,134.62,22.3977125,114.200106
33,New Territories,Sha Tin,Shatin,Festival City,Block 1,2010-02-03,M,3,,31,NA,901,677,10880000,2021-01-04,2012-12-03,7680000,41.67,22.3696785,114.1754005
34,New Territories,Sha Tin,Shatin,Garden Rivera,Block C,1984-09-28,M,2,1,,3,368,242,4750000,2021-01-04,1997-08-12,1908000,148.95000000000002,22.3811891,114.1952544
35,New Territories,Sha Tin,Shatin,Granville Garden,Block 1,1997-06-24,M,3,2,,E,0,640,8250000,2021-01-04,1997-04-24,5498000,50.050000000000004,22.377496,114.170887
36,New Territories,Sha Tin,Shatin,May Shing Court,Fai Shing House,1985-01-24,L,,,3,19,538,381,4700000,2021-01-04,2017-04-03,3990000,17.79,22.3797494,114.1754835
37,New Territories,Sha Tin,Shatin,Yu Chui Court,Block A,2001-08-29,L,3,,6,8,826,650,6980000,2021-01-04,2016-08-26,4950000,41.01,22.381683,114.20418
38,New Territories,Sha Tin,Shatin,Jubilee Garden,Block 5,1985-10-16,M,2,,22,F,623,498,6500000,2021-01-04,2001-05-18,1600000,306.25,22.3979539,114.200282
39,New Territories,Sha Tin,Shatin,Pristine Villa,Block 9,1995-01-16,H,3,2,,D,0,817,10000000,2021-01-04,1997-03-12,6080000,64.47,22.3825365,114.1827559
40,New Territories,Sha Tin,Shatin,Yu Chui Court,Block A,2001-08-29,M,3,,19,4,826,650,6880000,2020-12-31,,0,0.0,22.381683,114.20418
41,New Territories,Sha Tin,Shatin,Jubilee Garden,Block 4,1985-10-16,L,2,,5,G,653,510,6000000,2020-12-31,2020-11-11,800000,650.0,22.3977125,114.200106
42,New Territories,Sha Tin,Shatin,Jubilee Garden,Block 1,1986-05-08,H,2,,34,B,623,498,6550000,2020-12-31,2011-04-27,2900000,125.86,22.39699,114.199849
43,New Territories,Sha Tin,Shatin,Garden Rivera,Block C,1984-09-28,H,2,1,,3,0,242,4900000,2020-12-31,2003-02-25,609000,704.6,22.3811891,114.1952544
44,New Territories,Sha Tin,Shatin,Hilton Plaza,Block A,1985-09-03,L,2,2,4,5,437,274,4720000,2020-12-31,2012-02-21,2020000,133.66,22.3791236,114.18687
45,New Territories,Sha Tin,Shatin,Wai Wah Centre,Block 3,1986-06-10,L,2,2,6,G,404,297,5290000,2020-12-31,2020-05-08,4600000,15.0,22.381158,114.1873465
46,New Territories,Sha Tin,Shatin,City One Shatin,Block 3,1981-05-25,H,3,2,27,E,544,451,7900000,2020-12-31,1997-06-26,3500000,125.71000000000001,22.388395,114.203415
47,New Territories,Sha Tin,Shatin,Manlai Court,Block 3,1990-09-26,L,3,2,,H,0,622,9200000,2020-12-31,1997-08-30,4080000,125.49000000000001,22.3750404,114.182221
48,New Territories,Sha Tin,Shatin,Jubilee Garden,Block 1,1986-05-08,L,2,,5,B,623,498,5980000,2020-12-31,1996-11-07,2010000,197.51,22.39699,114.199849
49,New Territories,Sha Tin,Shatin,Fung Shing Court,Block C (Fu Shing House),1985-04-15,L,,,8,15,539,381,4738000,2020-12-31,2017-12-01,3990000,18.75,22.372211,114.18856
