Unnamed: 0,dates,vader_label,textblob_label
0,2017-01-02,0.0,0.0
1,2017-01-03,2.0,2.0
2,2017-01-04,2.0,2.0
3,2017-01-05,0.0,2.0
4,2017-01-06,0.0,2.0
5,2017-01-09,2.0,2.0
6,2017-01-10,2.0,2.0
7,2017-01-11,2.0,2.0
8,2017-01-12,2.0,2.0
9,2017-01-13,2.0,2.0
10,2017-01-16,2.0,1.0
11,2017-01-17,2.0,2.0
12,2017-01-18,2.0,2.0
13,2017-01-19,2.0,2.0
14,2017-01-20,0.0,2.0
15,2017-01-23,2.0,2.0
16,2017-01-24,2.0,2.0
17,2017-01-25,2.0,2.0
18,2017-01-26,2.0,2.0
19,2017-01-27,2.0,2.0
20,2017-01-30,0.0,0.0
21,2017-01-31,0.0,0.0
22,2017-02-01,2.0,2.0
23,2017-02-02,2.0,2.0
24,2017-02-03,0.0,2.0
25,2017-02-06,1.0,2.0
26,2017-02-07,2.0,2.0
27,2017-02-08,2.0,1.0
28,2017-02-09,2.0,2.0
29,2017-02-10,2.0,2.0
30,2017-02-13,2.0,2.0
31,2017-02-14,2.0,2.0
32,2017-02-15,2.0,2.0
33,2017-02-16,2.0,1.0
34,2017-02-17,2.0,2.0
35,2017-02-20,2.0,2.0
36,2017-02-21,2.0,2.0
37,2017-02-22,2.0,2.0
38,2017-02-23,2.0,2.0
39,2017-02-24,2.0,2.0
40,2017-02-27,2.0,2.0
41,2017-02-28,2.0,2.0
42,2017-03-01,2.0,1.0
43,2017-03-02,2.0,2.0
44,2017-03-03,2.0,2.0
45,2017-03-06,2.0,1.0
46,2017-03-07,2.0,2.0
47,2017-03-08,2.0,2.0
48,2017-03-09,2.0,2.0
49,2017-03-10,2.0,2.0
50,2017-03-13,2.0,2.0
51,2017-03-14,2.0,2.0
52,2017-03-15,2.0,0.0
53,2017-03-16,2.0,2.0
54,2017-03-17,2.0,2.0
55,2017-03-20,2.0,2.0
56,2017-03-21,2.0,2.0
57,2017-03-22,2.0,2.0
58,2017-03-23,2.0,2.0
59,2017-03-24,2.0,2.0
60,2017-03-27,2.0,2.0
61,2017-03-28,2.0,2.0
62,2017-03-29,0.0,2.0
63,2017-03-30,0.0,2.0
64,2017-03-31,0.0,1.0
65,2017-04-03,2.0,2.0
66,2017-04-04,0.0,0.0
67,2017-04-05,2.0,2.0
68,2017-04-06,2.0,2.0
69,2017-04-07,1.0,2.0
70,2017-04-10,2.0,2.0
71,2017-04-11,2.0,2.0
72,2017-04-12,2.0,2.0
73,2017-04-13,2.0,2.0
74,2017-04-14,0.0,0.0
75,2017-04-17,0.0,0.0
76,2017-04-18,2.0,2.0
77,2017-04-19,2.0,2.0
78,2017-04-20,2.0,2.0
79,2017-04-21,2.0,2.0
80,2017-04-24,2.0,2.0
81,2017-04-25,2.0,2.0
82,2017-04-26,2.0,2.0
83,2017-04-27,2.0,1.0
84,2017-04-28,2.0,1.0
85,2017-05-01,0.0,0.0
86,2017-05-02,2.0,2.0
87,2017-05-03,0.0,0.0
88,2017-05-04,0.0,2.0
89,2017-05-05,2.0,2.0
90,2017-05-08,2.0,2.0
91,2017-05-09,2.0,2.0
92,2017-05-10,2.0,2.0
93,2017-05-11,0.0,2.0
94,2017-05-12,2.0,1.0
95,2017-05-15,2.0,2.0
96,2017-05-16,2.0,2.0
97,2017-05-17,2.0,2.0
98,2017-05-18,2.0,2.0
99,2017-05-19,2.0,2.0
100,2017-05-22,2.0,2.0
101,2017-05-23,2.0,2.0
102,2017-05-24,2.0,2.0
103,2017-05-25,0.0,2.0
104,2017-05-26,2.0,2.0
105,2017-05-29,2.0,2.0
106,2017-05-30,0.0,0.0
107,2017-05-31,2.0,1.0
108,2017-06-01,2.0,2.0
109,2017-06-02,2.0,0.0
110,2017-06-05,0.0,1.0
111,2017-06-06,2.0,2.0
112,2017-06-07,1.0,1.0
113,2017-06-08,2.0,2.0
114,2017-06-09,2.0,1.0
115,2017-06-12,2.0,2.0
116,2017-06-13,2.0,2.0
117,2017-06-14,2.0,2.0
118,2017-06-15,2.0,2.0
119,2017-06-16,2.0,2.0
120,2017-06-19,2.0,2.0
121,2017-06-20,2.0,2.0
122,2017-06-21,2.0,2.0
123,2017-06-22,2.0,2.0
124,2017-06-23,2.0,0.0
125,2017-06-26,2.0,2.0
126,2017-06-27,2.0,1.0
127,2017-06-28,2.0,2.0
128,2017-06-29,2.0,2.0
129,2017-06-30,2.0,2.0
130,2017-07-03,2.0,2.0
131,2017-07-04,2.0,2.0
132,2017-07-05,2.0,2.0
133,2017-07-06,2.0,2.0
134,2017-07-07,2.0,1.0
135,2017-07-10,2.0,1.0
136,2017-07-11,2.0,2.0
137,2017-07-12,2.0,2.0
138,2017-07-13,2.0,2.0
139,2017-07-14,2.0,2.0
140,2017-07-17,2.0,1.0
141,2017-07-18,2.0,0.0
142,2017-07-19,2.0,2.0
143,2017-07-20,2.0,0.0
144,2017-07-21,2.0,1.0
145,2017-07-24,2.0,1.0
146,2017-07-25,2.0,1.0
147,2017-07-26,2.0,2.0
148,2017-07-27,2.0,2.0
149,2017-07-28,2.0,0.0
150,2017-07-31,2.0,2.0
151,2017-08-01,2.0,1.0
152,2017-08-02,2.0,2.0
153,2017-08-03,2.0,2.0
154,2017-08-04,2.0,0.0
155,2017-08-07,2.0,0.0
156,2017-08-08,2.0,2.0
157,2017-08-09,2.0,2.0
158,2017-08-10,2.0,2.0
159,2017-08-11,2.0,0.0
160,2017-08-14,2.0,2.0
161,2017-08-15,2.0,1.0
162,2017-08-16,2.0,1.0
163,2017-08-17,2.0,1.0
164,2017-08-18,2.0,2.0
165,2017-08-21,2.0,2.0
166,2017-08-22,2.0,2.0
167,2017-08-23,2.0,1.0
168,2017-08-24,2.0,1.0
169,2017-08-25,2.0,2.0
170,2017-08-28,2.0,1.0
171,2017-08-29,2.0,1.0
172,2017-08-30,2.0,1.0
173,2017-08-31,0.0,1.0
174,2017-09-01,0.0,1.0
175,2017-09-04,2.0,2.0
176,2017-09-05,2.0,2.0
177,2017-09-06,2.0,2.0
178,2017-09-07,2.0,2.0
179,2017-09-08,2.0,2.0
180,2017-09-11,2.0,2.0
181,2017-09-12,2.0,2.0
182,2017-09-13,2.0,2.0
183,2017-09-14,2.0,2.0
184,2017-09-15,2.0,2.0
185,2017-09-18,0.0,2.0
186,2017-09-19,2.0,2.0
187,2017-09-20,2.0,2.0
188,2017-09-21,2.0,2.0
189,2017-09-22,2.0,2.0
190,2017-09-25,2.0,2.0
