year,month,gdp,average_price_per_sqft,unemployment_rate_seasonally_adjusted
2016,1,"590556",9466,3.4
2016,2,"590556",9542,3.4
2016,3,"590556",9836,3.4
2016,4,"585135",9607,3.4
2016,5,"585135",9995,3.4
2016,6,"585135",9935,3.4
2016,7,"636333",10055,3.4
2016,8,"636333",10256,3.4
2016,9,"636333",10399,3.4
2016,10,"678414",10613,3.4
2016,11,"678414",9505,3.4
2016,12,"678414",9355,3.3
2017,1,"631418",11444,3.3
2017,2,"631418",12020,3.3
2017,3,"631418",12104,3.3
2017,4,"628277",12627,3.2
2017,5,"628277",12421,3.2
2017,6,"628277",12606,3.1
2017,7,"679352",12677,3.2
2017,8,"679352",12356,3.1
2017,9,"679352",12755,3.1
2017,10,"720337",13234,3.1
2017,11,"720337",13415,3
2017,12,"720337",14067,3
2018,1,"684538",13930,2.9
2018,2,"684538",14067,2.9
2018,3,"684538",13983,2.9
2018,4,"673760",14235,2.8
2018,5,"673760",14480,2.8
2018,6,"673760",14825,2.8
2018,7,"723228",14825,2.8
2018,8,"723228",15070,2.8
2018,9,"723228",14785,2.8
2018,10,"753593",14969,2.8
2018,11,"753593",13918,2.8
2018,12,"753593",13270,2.8
2019,1,"707865",13377,2.8
2019,2,"707865",14457,2.8
2019,3,"707865",14738,2.8
2019,4,"694279",14750,2.8
2019,5,"694279",14923,2.8
2019,6,"694279",14784,2.8
2019,7,"719317",14697,2.9
2019,8,"719317",14923,2.9
2019,9,"719317",13932,2.9
2019,10,"744198",14744,3
2019,11,"744198",14586,3.2
2019,12,"744198",14468,3.3
2020,1,"661585",14820,3.4
2020,2,"661585",14248,3.7
2020,3,"661585",14257,4.2
2020,4,"636647",14403,5.2
2020,5,"636647",14636,5.9
2020,6,"636647",15392,6.2
2020,7,"698802",14789,6.1
2020,8,"698802",14601,6.1
2020,9,"698802",14634,6.4
2020,10,"713696",14506,6.4
2020,11,"713696",14554,6.3
2020,12,"713696",14622,6.6
2021,1,"713696",14455,7
2021,2,"713696",14455,7.2
2021,3,"713696",14455,7.2
